                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3355,                 8.8651,                 3.3313,                      0,                      0,                      0,                      0,                 3.6664,                 8.9966,                 3.2822,                 0.0991,                 0.0001,                 0.0001
                      2,                 4.5096,                 8.9891,                 3.5656,                      0,                      0,                      0,                      0,                 3.5677,                 8.9274,                 3.2099,                0.09727,              0.0002703,              0.0002703
                      3,                  4.142,                 8.9262,                 3.4245,                      0,                      0,                      0,                      0,                 3.4761,                 8.8879,                 3.1241,               0.095401,               0.000401,               0.000401
                      4,                  4.282,                 8.9859,                 3.5327,                      0,                      0,                      0,                      0,                 3.4481,                  8.879,                 3.1009,               0.093492,              0.0004921,              0.0004921
                      5,                  4.101,                 8.6285,                 3.1606,                      0,                      0,                      0,                      0,                 3.5429,                 8.8249,                 3.0034,               0.091544,              0.0005436,              0.0005436
                      6,                 4.1008,                 8.6983,                 3.3975,                      0,                      0,                      0,                      0,                 3.5429,                 8.8249,                 3.0034,               0.089556,              0.0005555,              0.0005555
                      7,                 4.0943,                 8.6119,                 3.2891,                      0,                      0,                      0,                      0,                 3.4787,                  8.734,                 2.9245,               0.087528,              0.0005278,              0.0005278
                      8,                 4.0183,                  8.763,                 2.9921,                      0,                      0,                      0,                      0,                 3.4833,                 8.6948,                 2.9028,               0.085461,              0.0004605,              0.0004605
                      9,                 3.9047,                  8.498,                 3.1089,                      0,                      0,                      0,                      0,                 3.4833,                 8.6948,                 2.9028,               0.083354,              0.0003536,              0.0003536
                     10,                 4.3173,                 8.4174,                 3.3152,                      0,                      0,                      0,                      0,                 3.5281,                 8.6756,                 2.8912,               0.081207,              0.0002071,              0.0002071
