                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4347,                 8.8107,                 3.9643,                      0,                      0,                      0,                      0,                 4.2926,                 8.9602,                 3.2434,                 0.0991,                 0.0001,                 0.0001
                      2,                   4.38,                 8.8658,                 3.5243,                      0,                      0,                      0,                      0,                 4.2348,                 8.8895,                 3.1748,               0.097299,             0.00029851,             0.00029851
                      3,                 4.0901,                 8.7685,                 3.6148,                      0,                      0,                      0,                      0,                 4.1168,                 8.8723,                 3.0875,               0.095495,             0.00049505,             0.00049505
                      4,                 4.0715,                 8.8778,                 3.4955,                      0,                      0,                      0,                      0,                 4.0055,                 8.8338,                 2.9904,                0.09369,              0.0006896,              0.0006896
                      5,                 4.1656,                 8.6254,                  3.207,                      0,                      0,                      0,                      0,                 3.8101,                 8.7194,                 2.8536,               0.091882,             0.00088218,             0.00088218
                      6,                 3.6991,                 8.3567,                 3.1388,                      0,                      0,                      0,                      0,                 3.8101,                 8.7194,                 2.8536,               0.090073,              0.0010728,              0.0010728
                      7,                 3.6252,                 8.4679,                 2.7948,                      0,                      0,                      0,                      0,                 3.8315,                 8.6219,                 2.7395,               0.088261,              0.0012614,              0.0012614
                      8,                  3.743,                 8.3616,                 2.9225,                0.00305,                0.03571,                0.00164,                0.00016,                  3.944,                 8.5764,                 2.7051,               0.086448,               0.001448,               0.001448
                      9,                 3.4849,                 8.1133,                  2.761,                0.00305,                0.03571,                0.00164,                0.00016,                  3.944,                 8.5764,                 2.7051,               0.084633,              0.0016327,              0.0016327
                     10,                 3.4827,                 8.0658,                 2.7839,                0.00301,                0.03571,                0.00168,                0.00017,                 4.0553,                 8.5253,                  2.681,               0.082815,              0.0018154,              0.0018154
                     11,                 3.5551,                 7.8364,                 2.5307,                0.00301,                0.03571,                0.00168,                0.00017,                 4.0553,                 8.5253,                  2.681,               0.080996,               0.001996,               0.001996
