                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1488,                  8.741,                 3.0505,                0.07257,                0.08418,                0.03816,                0.02065,                 3.3175,                 8.9179,                 3.3219,               0.070019,              0.0033313,              0.0033313
                      2,                 3.2234,                 7.5111,                 3.0261,                0.13826,                0.16684,                0.07235,                0.03484,                 3.5476,                 7.9376,                 3.4776,               0.039975,              0.0066206,              0.0066206
                      3,                 3.4454,                 7.1943,                 3.2021,                0.13104,                0.13317,                0.07643,                0.03773,                 3.8229,                 8.1643,                 3.7043,              0.0098867,              0.0098659,              0.0098659
                      4,                 3.5874,                 7.0178,                 3.2872,                  0.146,                 0.1435,                0.07795,                0.03266,                 3.9369,                 7.6453,                 3.7821,               0.009802,               0.009802,               0.009802
                      5,                  3.512,                  6.795,                  3.284,                0.18708,                0.17519,                0.09745,                 0.0446,                  3.714,                 6.9613,                 3.6997,               0.009736,               0.009736,               0.009736
                      6,                 3.4782,                 6.6004,                  3.262,                0.15398,                 0.1568,                0.09559,                  0.045,                 3.6415,                 6.7841,                 3.5951,                0.00967,                0.00967,                0.00967
                      7,                 3.3755,                  6.349,                 3.2115,                0.21596,                0.17761,                0.11961,                0.05952,                 3.5723,                 6.3982,                 3.5712,               0.009604,               0.009604,               0.009604
                      8,                 3.3065,                 6.1143,                 3.1565,                0.17005,                0.18959,                0.12462,                0.06312,                 3.4989,                 6.2432,                 3.4668,               0.009538,               0.009538,               0.009538
                      9,                 3.2819,                 6.0631,                   3.14,                0.24522,                 0.1753,                0.15403,                0.07663,                 3.5156,                 5.8968,                 3.4893,               0.009472,               0.009472,               0.009472
                     10,                 3.2582,                 5.8453,                 3.0964,                0.23241,                0.19033,                0.16174,                 0.0818,                 3.5445,                 5.8547,                 3.5586,               0.009406,               0.009406,               0.009406
                     11,                 3.2475,                 5.7552,                 3.1112,                0.26945,                 0.2421,                0.19006,                0.09348,                 3.4416,                 5.5655,                 3.4058,                0.00934,                0.00934,                0.00934
                     12,                 3.1765,                 5.5855,                 3.0786,                0.26217,                 0.2439,                0.19727,                0.09927,                  3.434,                 5.5086,                  3.428,               0.009274,               0.009274,               0.009274
                     13,                 3.1957,                 5.4667,                 3.0543,                 0.2532,                0.24337,                0.19918,                0.10484,                 3.3443,                 5.4943,                 3.3126,               0.009208,               0.009208,               0.009208
                     14,                 3.1747,                 5.3605,                 3.0592,                0.30229,                0.25123,                0.22327,                0.11516,                 3.3405,                 5.2991,                 3.3412,               0.009142,               0.009142,               0.009142
                     15,                 3.1062,                 5.2077,                 2.9942,                0.33556,                0.26492,                0.24705,                0.12682,                 3.3759,                 5.2877,                 3.3209,               0.009076,               0.009076,               0.009076
                     16,                 3.1011,                 5.2301,                 2.9834,                0.31443,                0.27874,                 0.2502,                0.13081,                 3.2888,                 5.1093,                  3.307,                0.00901,                0.00901,                0.00901
                     17,                 3.0732,                 5.0203,                 2.9644,                 0.3174,                0.27166,                0.24165,                0.12304,                 3.3451,                 5.2294,                 3.2993,               0.008944,               0.008944,               0.008944
                     18,                 3.0393,                 4.9305,                 2.9418,                0.45322,                0.27527,                0.25302,                0.13529,                 3.2701,                 4.9642,                 3.2882,               0.008878,               0.008878,               0.008878
                     19,                 3.0066,                 4.9706,                 2.9299,                0.35715,                0.29039,                0.25442,                0.12936,                 3.3545,                 5.0607,                 3.3128,               0.008812,               0.008812,               0.008812
                     20,                 3.0525,                 4.8364,                 2.9402,                0.36531,                0.30765,                0.27564,                0.14882,                 3.2738,                 4.8283,                 3.2588,               0.008746,               0.008746,               0.008746
                     21,                 3.0153,                 4.7842,                 2.9194,                0.34635,                0.29024,                0.26909,                0.13403,                 3.3791,                  4.953,                 3.3229,                0.00868,                0.00868,                0.00868
                     22,                 3.0202,                 4.7081,                 2.8942,                 0.3801,                0.31206,                0.29189,                0.15835,                 3.2437,                 4.6777,                 3.2276,               0.008614,               0.008614,               0.008614
                     23,                 2.9959,                 4.6813,                 2.9095,                0.39733,                0.30843,                0.30787,                0.16408,                 3.2952,                 4.6862,                 3.2823,               0.008548,               0.008548,               0.008548
                     24,                 2.9549,                 4.6299,                 2.8601,                 0.3549,                0.31213,                0.28285,                0.14491,                 3.3033,                  4.839,                 3.2699,               0.008482,               0.008482,               0.008482
                     25,                 2.9486,                 4.5379,                 2.8741,                0.42602,                0.30757,                 0.2985,                0.16128,                 3.2553,                 4.6227,                 3.2672,               0.008416,               0.008416,               0.008416
                     26,                 2.9112,                 4.4945,                 2.8503,                0.38612,                0.32288,                0.30671,                0.17347,                 3.2012,                 4.6048,                 3.2142,                0.00835,                0.00835,                0.00835
                     27,                 2.8872,                 4.3686,                 2.8327,                0.40068,                0.33683,                0.30459,                0.16719,                 3.1939,                 4.6145,                 3.1987,               0.008284,               0.008284,               0.008284
                     28,                 2.9122,                 4.3913,                 2.8367,                0.43062,                0.31932,                0.30401,                0.15849,                 3.1863,                 4.6642,                 3.2186,               0.008218,               0.008218,               0.008218
                     29,                 2.8817,                 4.3412,                 2.8275,                0.38659,                0.32424,                0.30801,                0.16906,                 3.2198,                 4.4408,                 3.1926,               0.008152,               0.008152,               0.008152
                     30,                 2.8654,                 4.2496,                 2.7894,                0.39174,                0.32682,                 0.3183,                0.17867,                 3.1996,                 4.5412,                 3.1483,               0.008086,               0.008086,               0.008086
                     31,                 2.8747,                 4.2468,                 2.8034,                0.40043,                0.32975,                0.32505,                0.17726,                 3.2197,                 4.4825,                 3.2395,                0.00802,                0.00802,                0.00802
                     32,                 2.8282,                  4.159,                 2.7657,                0.42281,                0.34653,                 0.3184,                0.16932,                 3.2185,                 4.4269,                 3.1798,               0.007954,               0.007954,               0.007954
                     33,                 2.8302,                 4.1477,                 2.7761,                 0.4555,                0.33249,                0.32995,                0.18543,                 3.2374,                 4.3347,                 3.2211,               0.007888,               0.007888,               0.007888
                     34,                 2.8148,                 4.1444,                 2.7824,                0.39217,                0.36413,                0.34295,                0.18755,                 3.1797,                 4.2932,                 3.1757,               0.007822,               0.007822,               0.007822
                     35,                 2.8161,                 4.0602,                 2.7587,                0.43656,                0.35105,                0.34765,                0.18968,                 3.2207,                 4.2517,                 3.1993,               0.007756,               0.007756,               0.007756
