                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4617,                 7.1346,                 2.6728,                0.52505,                0.14076,                0.17659,                0.06707,                 4.5582,                 6.3438,                 2.5417,                0.07038,              0.0032911,              0.0032911
                      2,                 4.2233,                  4.828,                 2.5495,                0.34559,                0.20905,                0.25403,                0.11004,                 3.9761,                 4.8219,                 2.5503,               0.040336,              0.0065808,              0.0065808
                      3,                 4.1685,                 4.4095,                 2.5864,                0.51304,                0.22319,                0.15624,                0.05187,                 4.5893,                 5.4517,                 2.9174,               0.010248,              0.0098264,              0.0098264
                      4,                  4.213,                 4.4432,                 2.5821,                0.48327,                0.36867,                0.30876,                  0.134,                 3.9086,                 4.7515,                 2.6337,               0.009802,               0.009802,               0.009802
                      5,                    4.1,                 3.9693,                 2.5761,                0.39234,                    0.5,                0.36284,                 0.1489,                 4.0382,                 4.7493,                 2.7066,               0.009736,               0.009736,               0.009736
                      6,                 4.0461,                 3.8275,                 2.5535,                0.53413,                0.39671,                0.41173,                0.18991,                 3.8933,                 3.8544,                 2.5612,                0.00967,                0.00967,                0.00967
                      7,                 4.0286,                 3.5581,                 2.5227,                0.42125,                0.48966,                0.36678,                0.15408,                  4.027,                 3.9703,                 2.6724,               0.009604,               0.009604,               0.009604
                      8,                 3.9447,                 3.5202,                 2.5297,                0.49123,                0.45754,                0.45535,                0.21587,                 3.8277,                 3.5443,                 2.5486,               0.009538,               0.009538,               0.009538
                      9,                 3.9188,                 3.3293,                 2.4966,                0.45397,                0.46529,                0.41175,                0.16911,                 4.0951,                 3.8791,                 2.6913,               0.009472,               0.009472,               0.009472
                     10,                 3.9809,                 3.2813,                 2.5158,                0.48866,                0.50834,                0.48145,                0.21547,                 3.8471,                 3.3242,                 2.5357,               0.009406,               0.009406,               0.009406
                     11,                 3.9309,                 3.2059,                 2.4637,                0.50075,                0.48441,                0.50143,                0.23694,                 3.8679,                 3.2524,                 2.5093,                0.00934,                0.00934,                0.00934
                     12,                 3.8735,                 3.2287,                 2.4638,                0.50118,                0.52579,                 0.5072,                0.23602,                  3.845,                 3.3171,                  2.555,               0.009274,               0.009274,               0.009274
                     13,                 3.8523,                 3.0818,                 2.4882,                 0.5113,                0.54352,                0.51358,                0.23713,                  3.888,                 3.2441,                 2.5726,               0.009208,               0.009208,               0.009208
                     14,                 3.8475,                 2.8951,                  2.438,                0.50701,                0.52446,                0.49051,                0.22437,                 3.8234,                  3.183,                 2.5442,               0.009142,               0.009142,               0.009142
                     15,                  3.816,                 2.9569,                 2.4758,                0.49105,                0.56459,                0.50845,                0.23451,                 3.8516,                 3.1252,                 2.5578,               0.009076,               0.009076,               0.009076
                     16,                 3.8027,                 2.8392,                 2.4891,                0.48695,                0.53399,                0.45677,                0.19987,                 4.0047,                 3.2777,                 2.6358,                0.00901,                0.00901,                0.00901
                     17,                 3.7659,                 2.8085,                 2.4759,                0.50298,                0.53162,                0.50164,                0.23369,                 3.7626,                 3.0312,                 2.5503,               0.008944,               0.008944,               0.008944
