文件路径,目标编号,类别,置信度,坐标位置
C:/Users/Administrator/Desktop/pictures_berry\(1).jpg,0,果子,91.98 %,"[640, 356, 714, 425]"
C:/Users/Administrator/Desktop/pictures_berry\(1).jpg,1,果子,87.16 %,"[636, 288, 693, 343]"
C:/Users/Administrator/Desktop/pictures_berry\(1).jpg,2,果子,83.83 %,"[421, 292, 487, 359]"
C:/Users/Administrator/Desktop/pictures_berry\(1).jpg,3,果子,82.60 %,"[755, 206, 787, 240]"
C:/Users/Administrator/Desktop/pictures_berry\(1).jpg,4,花,72.52 %,"[412, 227, 480, 289]"
C:/Users/Administrator/Desktop/pictures_berry\(1).jpg,5,花,71.52 %,"[604, 236, 657, 269]"
C:/Users/Administrator/Desktop/pictures_berry\(1).jpg,6,花,50.41 %,"[512, 231, 555, 263]"
C:/Users/Administrator/Desktop/pictures_berry\(1).jpg,7,果子,49.14 %,"[488, 191, 532, 220]"
C:/Users/Administrator/Desktop/pictures_berry\(1).jpg,8,枝梗,37.47 %,"[492, 218, 509, 252]"
C:/Users/Administrator/Desktop/pictures_berry\(1).jpg,9,枝梗,34.54 %,"[686, 237, 765, 311]"
C:/Users/Administrator/Desktop/pictures_berry\(10).jpg,0,花,94.32 %,"[524, 232, 564, 321]"
C:/Users/Administrator/Desktop/pictures_berry\(10).jpg,1,果子,54.74 %,"[512, 180, 550, 217]"
C:/Users/Administrator/Desktop/pictures_berry\(10).jpg,2,花,51.06 %,"[466, 224, 510, 278]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,0,果子,92.90 %,"[554, 169, 605, 226]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,1,花,89.21 %,"[535, 130, 613, 172]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,2,枝梗,86.70 %,"[530, 234, 558, 292]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,3,花,79.61 %,"[622, 148, 690, 191]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,4,枝梗,71.27 %,"[529, 303, 568, 354]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,5,花,67.85 %,"[402, 196, 505, 233]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,6,枝梗,54.87 %,"[467, 241, 522, 294]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,7,花,53.58 %,"[400, 200, 500, 251]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,8,枝梗,50.90 %,"[588, 255, 611, 306]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,9,枝梗,41.95 %,"[615, 182, 648, 237]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,10,枝梗,36.46 %,"[564, 240, 577, 337]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,11,花,36.21 %,"[400, 195, 503, 241]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,12,枝梗,36.14 %,"[566, 236, 577, 339]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,13,果子,33.09 %,"[380, 142, 424, 177]"
C:/Users/Administrator/Desktop/pictures_berry\(100).jpg,14,枝梗,25.94 %,"[567, 234, 577, 332]"
C:/Users/Administrator/Desktop/pictures_berry\(101).jpg,0,花,97.64 %,"[454, 255, 565, 372]"
C:/Users/Administrator/Desktop/pictures_berry\(101).jpg,1,果子,89.14 %,"[615, 352, 693, 428]"
C:/Users/Administrator/Desktop/pictures_berry\(101).jpg,2,果子,89.03 %,"[611, 284, 697, 363]"
C:/Users/Administrator/Desktop/pictures_berry\(101).jpg,3,果子,87.99 %,"[206, 440, 282, 517]"
C:/Users/Administrator/Desktop/pictures_berry\(101).jpg,4,果子,87.55 %,"[429, 325, 512, 418]"
C:/Users/Administrator/Desktop/pictures_berry\(101).jpg,5,花,45.12 %,"[135, 365, 212, 441]"
C:/Users/Administrator/Desktop/pictures_berry\(101).jpg,6,果子,33.12 %,"[705, 181, 774, 258]"
C:/Users/Administrator/Desktop/pictures_berry\(101).jpg,7,果子,29.62 %,"[710, 230, 754, 273]"
C:/Users/Administrator/Desktop/pictures_berry\(101).jpg,8,枝梗,29.16 %,"[211, 346, 239, 448]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,0,果子,96.71 %,"[489, 257, 593, 377]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,1,枝梗,93.54 %,"[447, 201, 522, 273]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,2,枝梗,92.80 %,"[562, 114, 597, 236]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,3,果子,83.43 %,"[629, 323, 716, 419]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,4,果子,82.78 %,"[365, 262, 446, 340]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,5,果子,80.03 %,"[772, 219, 860, 332]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,6,果子,79.83 %,"[740, 289, 796, 344]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,7,果子,76.26 %,"[771, 220, 861, 334]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,8,枝梗,71.63 %,"[532, 126, 573, 191]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,9,果子,65.06 %,"[605, 285, 641, 321]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,10,果子,54.80 %,"[753, 246, 788, 275]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,11,枝梗,41.42 %,"[700, 226, 734, 249]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,12,枝梗,30.62 %,"[668, 192, 697, 322]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,13,枝梗,29.08 %,"[737, 251, 759, 301]"
C:/Users/Administrator/Desktop/pictures_berry\(102).jpg,14,枝梗,27.08 %,"[748, 213, 791, 251]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,0,果子,97.83 %,"[456, 327, 576, 476]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,1,果子,93.47 %,"[642, 164, 735, 242]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,2,果子,86.44 %,"[275, 329, 382, 410]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,3,果子,80.66 %,"[777, 292, 916, 411]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,4,花,80.48 %,"[396, 163, 495, 209]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,5,花,73.94 %,"[761, 148, 816, 206]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,6,枝梗,73.79 %,"[714, 250, 799, 304]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,7,枝梗,71.32 %,"[396, 275, 497, 344]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,8,果子,64.12 %,"[778, 293, 917, 411]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,9,枝梗,60.74 %,"[445, 219, 503, 265]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,10,枝梗,59.99 %,"[399, 277, 497, 340]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,11,果子,51.52 %,"[799, 174, 921, 251]"
C:/Users/Administrator/Desktop/pictures_berry\(103).jpg,12,果子,29.66 %,"[276, 329, 383, 410]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,0,果子,96.88 %,"[371, 151, 495, 259]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,1,果子,94.09 %,"[611, 218, 714, 346]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,2,果子,87.00 %,"[554, 276, 627, 376]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,3,果子,83.62 %,"[258, 430, 352, 512]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,4,果子,82.45 %,"[582, 166, 641, 220]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,5,果子,80.59 %,"[461, 65, 516, 116]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,6,枝梗,69.99 %,"[503, 157, 577, 190]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,7,果子,64.78 %,"[136, 471, 175, 520]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,8,果子,60.85 %,"[592, 128, 654, 185]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,9,枝梗,42.83 %,"[140, 400, 168, 484]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,10,果子,41.82 %,"[590, 127, 653, 186]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,11,枝梗,39.15 %,"[186, 404, 277, 457]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,12,果子,29.86 %,"[126, 535, 170, 569]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,13,果子,28.46 %,"[124, 533, 166, 569]"
C:/Users/Administrator/Desktop/pictures_berry\(104).jpg,14,果子,26.92 %,"[471, 175, 512, 216]"
